,duration,num_syllables,speech_rate,articulation_rate,total_speaking_time,total_pause_time,num_pauses,mean_pause_duration,mean_f0,stdev_f0,mean_intensity,stdev_intensity,jitter,shimmer,hnr,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std
count,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
mean,12.278090625,6.7,0.5515567797874884,0.5583885590920055,12.098890625000001,0.17919999999999991,0.425,0.06493333333333332,153.32234946164456,49.55371251384249,58.4912367195311,16.231381200926307,2.656863989500203,0.16527939588517224,6.921780766534255,-330.24224853515625,88.3405532836914,58.310890197753906,28.57489013671875,8.80054759979248,27.096996307373047,6.8897809982299805,21.607192993164062,-20.388839721679688,20.640457153320312,-15.487157821655273,17.612226486206055,-14.691142082214355,15.487378120422363,-5.402123928070068,13.871337890625,-12.174036979675293,12.537878036499023,-4.246293067932129,10.920820236206055,-7.8199920654296875,10.428102493286133,-6.826306343078613,10.299245834350586,-7.252215385437012,9.589983940124512
std,4.072739732892468,2.7193513555389996,0.12689166637539337,0.12229982974658653,4.06232785968505,0.47235206339643687,1.1067971810589328,0.15954299405353697,35.48544783005316,22.154232611484552,6.417395122299923,16.973917963278264,0.5720888618694363,0.022656642743850267,1.738585030739563,80.85404205322266,25.535703659057617,19.59456443786621,7.299847602844238,16.2572078704834,7.137948513031006,14.823740005493164,4.688147068023682,11.011735916137695,4.70894193649292,10.042756080627441,3.725764036178589,7.780093193054199,2.8832106590270996,7.840421199798584,2.801311492919922,8.102023124694824,2.4641668796539307,4.30523157119751,1.7412790060043335,6.910589694976807,1.8184596300125122,5.287740230560303,2.3894355297088623,6.589841842651367,2.2170231342315674
min,5.32625,3.0,0.2827904346135492,0.2827904346135492,5.32625,0.0,0.0,0.0,82.18646490940623,16.750886819109944,45.724284212259946,5.84827170958085,1.6817099710466694,0.11825736205225568,3.824870732870122,-482.2519226074219,35.72511291503906,11.056645393371582,15.445707321166992,-30.406482696533203,13.892603874206543,-21.38589859008789,11.976288795471191,-35.987403869628906,10.624983787536621,-32.783660888671875,9.439507484436035,-32.130775451660156,9.391244888305664,-25.851455688476562,7.936883926391602,-28.66691017150879,7.5044732093811035,-12.644872665405273,7.279463291168213,-23.155988693237305,6.610771656036377,-22.248123168945312,5.670018672943115,-20.105545043945312,5.204683303833008
25%,9.3980625,5.0,0.4741445177956385,0.4854499752827601,9.3980625,0.0,0.0,0.0,127.15169977358651,34.87627809784755,55.11442290204324,8.453535956468093,2.2601375622705007,0.14767055557877035,5.364787198171154,-391.4604797363281,72.88095283508301,47.233293533325195,23.039225101470947,-0.3519434481859207,21.641234397888184,-4.383437752723694,18.099366188049316,-29.8467116355896,18.786376953125,-22.93635606765747,15.121301174163818,-19.64271068572998,13.292161464691162,-10.41023302078247,13.121580839157104,-16.722269535064697,10.916743516921997,-7.549776196479797,9.688674926757812,-11.585956811904907,9.20645546913147,-9.828450441360474,8.843743801116943,-11.836682558059692,7.876067280769348
50%,12.30075,6.0,0.5472771997157788,0.5570691778710201,12.16375,0.0,0.0,0.0,151.91039959981964,46.602027185711336,58.65800636729119,10.61443126018675,2.6981335478684283,0.16514448465540293,6.985090483450138,-328.4963684082031,87.56528854370117,59.88607215881348,26.619303703308105,9.59744930267334,25.914365768432617,6.408630132675171,20.768583297729492,-21.721433639526367,19.89779567718506,-15.788055419921875,17.576234817504883,-13.720486164093018,15.220947742462158,-5.093632459640503,13.879610538482666,-10.453229427337646,12.045077800750732,-4.1812825202941895,10.704452514648438,-9.329607009887695,10.501371383666992,-8.065622806549072,10.338993072509766,-8.251277923583984,9.611884117126465
75%,14.84921875,8.0,0.6426891666798425,0.6426891666798425,14.522531249999998,0.0,0.0,0.0,176.1124661060344,60.93651243372423,61.997970010007506,12.672000241036823,2.9813950845599453,0.17936654489372414,7.962812246587168,-282.15160369873047,100.91829299926758,68.79653549194336,34.48556327819824,16.27466344833374,32.55708980560303,18.40558671951294,24.726606369018555,-14.113158226013184,23.019388675689697,-8.024574995040894,19.63625717163086,-10.44447374343872,17.58575439453125,-0.3161786273121834,15.358206272125244,-7.4317322969436646,13.65694522857666,-0.6971545964479446,12.130808353424072,-3.788264751434326,11.185060262680054,-3.366604208946228,11.827067375183105,-2.4314162135124207,11.318333148956299
max,24.865125,16.0,0.8381936925924632,0.8381936925924632,24.865125,2.0479999999999965,4.0,0.5120000000000005,234.81369190669358,128.80857745459645,70.42965514603476,87.44648690858483,3.9681606492155312,0.22100465311964998,10.506556644029128,-146.3646697998047,163.4456787109375,103.72492218017578,41.385902404785156,52.00487518310547,44.56803512573242,44.297454833984375,31.133195877075195,8.354578018188477,31.395959854125977,1.3303474187850952,25.316389083862305,-0.6877351403236389,21.23310089111328,11.791946411132812,19.920124053955078,3.451754570007324,18.391019821166992,3.8597140312194824,14.393791198730469,12.505350112915039,14.168140411376953,5.968209266662598,15.774916648864746,7.199312686920166,14.41421890258789
