source,file,duration,num_syllables,speech_rate,articulation_rate,total_speaking_time,total_pause_time,num_pauses,mean_pause_duration,mean_f0,stdev_f0,mean_intensity,stdev_intensity,jitter,shimmer,hnr,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std
cleaned_manual,28.wav,9.389875,5,0.5324884516567047,0.5324884516567047,9.389875,0.0,0,0.0,133.68141234688463,55.46478183333196,46.579140095315424,5.873194457297617,2.2374116401797735,0.16640957478988794,6.093122110241232,-424.0203,54.635155,66.04522,37.38852,30.23759,37.61033,12.54283,27.944075,-0.08551545,22.887281,-8.403536,17.39161,-14.5388365,21.2331,5.592469,18.653225,-6.3233495,14.191192,-1.6910092,12.729201,-2.987526,12.716176,0.49179742,14.89903,7.1993127,12.52038
cleaned_manual,29.wav,14.80425,7,0.4728371920225611,0.4728371920225611,14.80425,0.0,0,0.0,138.704231372839,75.02070819668876,53.02772642397337,11.498255394315727,3.391956582682891,0.19465430332076325,5.182972105107053,-422.5274,110.31632,81.81513,25.966976,-0.30965337,23.629839,23.470142,25.486368,-5.805272,21.07136,-8.947771,18.367178,-1.9730408,15.699181,3.9329684,16.810406,-2.0066497,13.628886,-4.662669,11.367661,-6.0838413,9.909783,-3.3154702,11.82699,-1.97492,9.299825
cleaned_manual,3.wav,13.79425,5,0.36246986969208184,0.38764948733355303,12.898249999999999,0.8960000000000004,3,0.2986666666666668,114.37233462948117,26.37269280054963,60.48722912657172,56.12672833303054,3.00890947346353,0.14234919518895195,8.2207687063304,-388.39838,163.44568,70.39674,32.197197,22.121311,25.715572,25.097063,24.473352,2.676352,19.32781,-4.8051147,19.419113,-12.118456,19.647198,4.73557,16.982252,3.4517546,12.777008,3.859714,10.730228,3.7139282,9.937114,-9.485802,11.827299,0.667976,8.268431
cleaned_manual,30.wav,11.012375,7,0.6356485317654003,0.6356485317654003,11.012375,0.0,0,0.0,167.20200735901327,45.08347629886146,61.90042832999123,10.320830086390952,2.8957681769083448,0.1417360056357664,7.389904475333896,-272.59122,76.59182,55.700417,18.804327,0.68892455,22.557468,6.7241607,15.110273,-29.841015,17.445044,-12.524383,12.134392,-19.143856,12.768513,-9.61759,12.970149,-16.159134,11.623607,-9.35213,9.463455,-9.822207,8.012069,-9.320908,9.267399,-2.3542118,7.8109922
cleaned_manual,31.wav,14.984125,12,0.8008475636715524,0.8008475636715524,14.984125,0.0,0,0.0,109.84158433817548,27.624655739837515,58.50615274316184,47.34312965463569,1.8284901565951,0.1618951139232206,7.216231477354946,-313.4974,85.82343,59.339085,21.942705,3.0143993,19.50561,-4.5586915,20.092312,-27.91843,18.455528,-18.483463,14.172834,-25.751528,16.351671,-13.105024,13.228652,-20.141685,10.921702,-9.062984,9.394424,-14.392829,9.23601,-5.5755997,7.860933,-12.401075,7.897759
cleaned_manual,32.wav,15.900625,7,0.4402342675209308,0.4851467135641824,14.428624999999998,1.4720000000000006,4,0.36800000000000016,215.2437060289408,47.5455632176992,70.42965514603476,15.169099171994416,1.6817099710466694,0.11825736205225568,10.225072739961764,-220.25368,121.60957,11.056645,34.523746,-20.700018,27.765924,-21.385899,20.67425,-32.3951,23.41571,-32.78366,19.775732,-13.541932,17.515413,-6.548764,13.681673,-22.706459,12.195529,-4.81965,11.280942,-11.21513,9.802201,-22.248123,12.070525,-17.057167,12.180418
cleaned_manual,33.wav,15.445,8,0.5179669796050501,0.5179669796050501,15.445,0.0,0,0.0,155.52327028834242,51.68987343639263,60.00236530470617,11.484226475891978,1.845177363743538,0.15960794186181063,5.9981282115143,-311.63074,107.69378,25.608524,41.385902,7.8554807,36.93138,21.195667,28.81539,-27.036995,31.39596,-1.5700047,15.16806,-22.602669,19.918932,0.28356057,18.823328,-28.447868,15.783369,1.3226105,13.888358,-4.0551777,10.695659,5.9682093,12.455058,0.011848765,12.793213
cleaned_manual,34.wav,17.50275,6,0.3428032737712645,0.3428032737712645,17.50275,0.0,0,0.0,151.34965595051344,46.31541977112033,54.98741018014441,41.74089196500228,2.9235935102523403,0.19228087262970978,5.083308237011784,-376.87866,89.44752,67.72856,24.723091,13.354787,19.92291,-1.6085618,18.622541,-14.479695,19.07676,-16.636518,18.395327,-15.158027,13.298747,-9.265128,9.902173,-13.796376,8.457578,-4.5295253,7.2794633,-12.266312,6.6107717,-9.221366,7.4748816,-10.540964,6.4718704
cleaned_manual,35.wav,11.632,5,0.4298486932599725,0.5217028380634389,9.584000000000003,2.0479999999999965,4,0.5119999999999991,142.4114687499776,40.88305009759221,58.80985999142055,87.44648690858483,2.368632157964793,0.1439225045952839,9.447513933734372,-418.4661,141.47833,60.49658,41.189266,17.642729,23.917858,21.365679,29.722095,-13.013547,22.673523,-22.918821,21.864727,-6.7812214,17.796778,-12.669507,15.448187,-9.000037,12.453825,-3.8774676,10.603474,-6.971111,10.912017,-0.81484073,10.471868,-2.4398189,8.944682
cleaned_manual,36.wav,12.64275,6,0.474580293053331,0.474580293053331,12.64275,0.0,0,0.0,174.78727274162114,31.520401272362395,59.51487471706524,9.684393537691333,2.914625469019802,0.1404760805882024,7.87682676000609,-325.50876,82.955765,63.11269,34.472836,6.577161,44.568035,30.049805,24.418077,-29.897568,28.799017,-6.8876925,17.378881,-11.76656,17.843296,-25.851456,17.858622,-21.210928,17.940655,-5.053717,12.135187,-10.310105,14.16814,-4.0624027,14.362566,5.803404,11.424513
cleaned_manual,37.wav,10.062375,7,0.6956608156623064,0.6956608156623064,10.062375,0.0,0,0.0,127.98635384710798,69.57633928342729,62.29059505005633,10.908032433982548,3.896724874053331,0.19684856745611456,4.57997863785046,-283.0547,96.194405,74.66662,23.11326,6.2373524,26.11316,19.73443,17.754553,-20.8661,19.166115,-22.98896,17.20377,-20.953789,14.413343,-15.060744,14.1209755,-18.236372,9.6427145,-8.05884,9.465177,-4.9889836,8.331918,-2.9583955,5.780923,-10.968154,7.0979075
cleaned_manual,38.wav,7.15825,6,0.8381936925924632,0.8381936925924632,7.15825,0.0,0,0.0,234.81369190669358,31.762931915276422,68.81720027230176,9.752795233212202,1.998805935989179,0.15979488393982533,7.869187333617508,-199.46443,88.18915,17.392906,28.76664,-22.266188,39.367645,-4.409801,18.370745,-33.124336,25.15499,-1.2585918,12.541193,-14.721808,13.305983,-4.420014,14.32042,-9.982225,11.015626,-4.2952886,10.646847,-15.209666,9.443397,-8.865405,10.695997,-11.444737,9.880257
cleaned_manual,39.wav,7.144,4,0.5599104143337066,0.5599104143337066,7.144,0.0,0,0.0,182.8979920726152,86.86505782655682,63.58081707166743,10.13001933493426,2.719880019214074,0.16159909319671517,7.663412003767536,-273.84628,68.3097,40.65736,24.579165,9.640951,30.914017,-4.0047746,17.03692,-33.047142,18.829975,-27.711185,14.076648,-32.130775,13.711054,-18.625868,13.2287855,-6.362956,9.904885,-3.0127864,9.708695,3.1631773,10.863814,-8.465406,8.955666,-7.819074,6.3596225
cleaned_manual,4.wav,9.400375,4,0.4255149395635812,0.4255149395635812,9.400375,0.0,0,0.0,103.64894374564201,58.99969873990652,45.724284212259946,8.646844656881433,2.7794380011166497,0.22100465311964998,4.461131755152909,-458.4807,83.620445,83.774254,26.996302,12.819462,24.252613,38.171425,24.330944,-23.967897,20.118832,-17.266048,21.50989,-10.8635435,16.032858,-5.9184766,15.261538,-0.40864396,16.717981,-8.667283,11.273798,-7.202572,13.621094,4.555152,11.372886,-11.973506,12.974418
cleaned_manual,40.wav,9.391125,5,0.5324175751041541,0.5324175751041541,9.391125,0.0,0,0.0,101.29489723304546,72.04472005172381,55.43317263707411,10.909707538433391,1.9363263963991875,0.1719637778203095,5.343469048665523,-357.90448,86.91111,66.79103,34.78432,29.80759,31.90471,15.136144,26.896465,-25.074696,20.953793,-20.359156,19.414385,-13.774337,14.75396,-2.5674686,14.692864,-8.02015,13.153233,-5.20219,13.803867,-7.9892745,10.894946,-9.797349,8.919222,-5.814993,12.370239
cleaned_manual,5.wav,14.0855,4,0.2839799794114515,0.2946918628209379,13.5735,0.5120000000000005,1,0.5120000000000005,172.4567441558273,60.18216912264145,61.13236751241676,12.64433549284655,3.211011166942234,0.16648453061742824,6.788207276137894,-300.74246,118.62636,42.911995,37.27962,14.631642,36.119476,-3.0990388,23.632286,-25.123617,22.625456,-31.338528,23.40065,-18.132204,18.248795,-9.673084,14.077548,-14.3051405,17.329586,-9.691243,12.157251,-6.4801073,8.605152,-9.921755,10.789235,-6.4310327,10.922534
cleaned_manual,6.wav,24.865125,16,0.643471528898407,0.643471528898407,24.865125,0.0,0,0.0,130.25479598165177,35.914060158704594,48.826050897057755,9.953787156700685,2.325625963261267,0.15278406037698852,7.168816791628785,-424.53632,94.666405,57.998234,33.69974,15.975006,36.855793,17.962639,21.148169,-35.987404,31.239191,-6.081034,18.132172,-6.653786,15.18034,-10.733381,14.664261,-1.0185559,12.760742,-11.208809,12.862434,-1.265732,10.939461,-6.513602,12.146012,-12.753406,11.495154
cleaned_manual,7.wav,17.077625,10,0.5855615168971094,0.5855615168971094,17.077625,0.0,0,0.0,162.42618643002007,51.8089778258084,47.18815406034969,9.07440727524711,2.6910776951067796,0.17862433244933124,8.44651630871403,-482.25192,82.17413,103.72492,39.69791,15.875144,35.004883,2.4457703,26.594948,-12.0152855,27.676912,1.3303474,17.918344,-9.011331,15.2391205,-0.40697247,14.758086,-15.933983,11.843127,1.6978097,12.270972,-4.4049387,11.675669,-8.006636,10.206119,-4.9242435,9.839665
cleaned_manual,8.wav,9.565,5,0.5227391531625719,0.5227391531625719,9.565,0.0,0,0.0,123.67674858225284,49.4634974373474,54.30133297877484,5.84827170958085,3.9681606492155312,0.20785933124822825,4.703961695292223,-327.1396,59.38734,60.074894,22.057081,14.910732,22.55382,4.009296,11.976289,-18.63901,16.267385,-15.249498,17.76086,-7.947724,13.267955,-2.2364035,8.24563,-13.067401,10.964988,0.86242837,8.853579,-12.769253,10.301702,-3.4895997,7.439227,-17.006296,8.038589
cleaned_manual,9.wav,15.626125,11,0.7039493156492732,0.7039493156492732,15.626125,0.0,0,0.0,187.6601414532991,23.920529176609726,60.54844144608529,10.200348436077954,2.2677128696340767,0.14119474567331136,6.80300800031779,-285.2479,88.91729,39.643703,26.242306,8.706168,21.683094,-6.569048,17.216005,-19.751194,20.574968,-0.6189119,10.772841,-9.187264,10.944235,-2.5002735,8.104589,-9.8736725,7.504473,-0.44322276,8.683837,-11.189314,8.086719,-3.6181617,5.6700187,-10.720635,6.991131
